peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
76.61,1.71,M,56,0,0,0,10,7,0,N,1,1,3
46.66,1.61,M,41,0,15,0,0,7,0,N,2,2,2
45.51,1.59,M,37,120,0,0,0,6,0,N,0,0,0
62.21,1.8,V,66,0,9,1,0,3,0,N,1,3,4
55.76,1.76,V,45,40,8,0,0,0,0,N,1,3,4
86.07,1.83,V,43,0,0,1,0,2,0,N,2,1,1
66.65,1.67,M,18,0,0,1,0,0,0,N,3,4,4
75.44,1.72,V,52,0,0,1,0,0,0,N,2,4,4
79.32,1.74,V,42,0,0,3,1,0,0,N,0,2,1
52.63,1.71,V,52,30,7,0,0,0,2,N,3,4,4
53.25,1.72,V,51,90,0,2,0,4,0,N,2,3,3
70.74,1.64,M,34,0,0,0,14,10,0,N,1,2,2
80.85,1.76,V,32,0,0,0,0,3,0,N,2,2,1
60.71,1.54,M,39,0,0,0,0,0,0,N,0,1,0
53.87,1.73,V,60,0,25,0,27,19,0,N,3,4,4
75.14,1.7,V,18,0,0,1,8,3,0,N,0,2,3
81.16,1.75,V,50,0,0,5,0,6,0,N,1,3,3
52.02,1.7,V,33,60,0,2,0,1,0,N,3,4,4
58.32,1.8,V,53,90,1,5,0,1,0,N,2,4,4
63.93,1.66,M,54,0,0,0,0,0,0,S,2,3,3
66.08,1.71,V,69,0,0,3,0,0,0,N,1,3,3
80.74,1.79,V,33,0,0,1,0,0,0,N,1,3,4
55.67,1.64,M,52,0,0,0,6,14,5,N,1,1,3
63.59,1.67,V,29,0,8,5,2,0,0,N,2,2,1
76.9,1.74,V,24,0,4,0,7,8,2,N,0,1,1
86.49,1.81,V,54,0,2,1,0,1,0,N,1,1,2
60.76,1.73,V,38,10,0,1,13,14,0,N,1,2,2
55.76,1.76,V,56,40,0,0,0,5,0,N,2,2,0
80.35,1.8,V,39,0,0,3,0,0,0,N,1,2,3
49.43,1.58,M,21,0,0,5,0,0,7,N,0,0,1
59.47,1.76,V,46,10,0,0,12,5,0,N,1,2,2
67.55,1.71,M,54,0,0,2,8,0,0,S,3,4,4
88.78,1.81,V,32,0,0,0,6,4,0,S,1,2,2
88.43,1.79,V,46,0,0,8,0,0,0,N,2,3,2
59.83,1.68,M,18,0,3,0,4,0,0,N,2,4,3
73.81,1.75,V,62,0,0,2,0,0,0,N,0,2,2
60.98,1.65,M,32,0,5,0,1,3,1,N,1,2,2
78.95,1.77,M,41,0,2,0,16,15,0,N,2,4,4
75.89,1.76,V,41,0,3,3,5,2,0,N,2,1,2
75.3,1.67,M,58,0,0,3,0,0,0,N,0,1,1
58.81,1.65,M,42,0,13,0,0,5,0,N,1,0,0
79.01,1.73,M,34,0,0,2,17,8,0,N,1,2,0
49.6,1.66,M,44,60,13,0,11,0,0,N,2,3,4
76.14,1.8,V,18,0,2,1,0,1,0,N,2,4,3
73.63,1.73,M,50,0,0,1,0,0,1,N,1,2,3
58.32,1.8,V,24,90,0,0,6,7,0,N,0,0,1
71.42,1.81,V,39,0,16,3,8,2,0,N,0,1,1
87.45,1.82,V,24,0,0,1,0,5,0,S,2,3,2
80.31,1.65,M,62,0,0,4,14,14,0,N,2,3,3
55.39,1.66,M,70,10,0,7,8,0,0,N,0,1,1
50.2,1.67,M,30,20,0,2,0,5,0,N,1,4,3
55.12,1.75,V,25,10,10,2,0,0,0,N,1,3,4
83.39,1.83,V,49,0,0,0,2,0,0,N,1,3,2
76.61,1.66,V,43,0,0,0,0,12,0,N,0,1,2
49,1.65,M,27,110,0,4,0,6,0,N,0,1,3
79.34,1.64,M,46,0,0,5,0,5,0,N,1,1,2
49.6,1.66,M,18,20,0,3,3,0,0,N,1,2,4
63.43,1.65,V,46,0,0,0,0,0,0,N,2,4,4
62.87,1.71,M,41,0,8,0,10,3,0,N,1,2,4
66.44,1.73,V,29,0,13,4,13,8,0,N,1,1,0
86.89,1.74,M,52,0,0,7,0,0,0,N,1,0,0
82.62,1.8,V,38,0,7,0,8,16,0,S,1,2,1
53.25,1.72,V,37,100,0,0,5,0,0,N,0,2,3
59.1,1.61,M,33,0,0,4,8,0,2,N,1,3,2
47.24,1.62,M,29,20,0,4,6,0,0,N,1,1,0
63.79,1.68,M,35,0,5,4,11,2,1,N,1,2,3
53.87,1.73,V,34,90,0,4,17,7,0,N,2,2,1
65.09,1.74,V,60,0,5,2,1,0,0,N,2,3,3
58.32,1.8,V,34,10,14,0,8,2,NA,N,2,2,1
50.2,1.67,M,45,80,0,4,13,2,0,N,1,2,2
56.71,1.77,V,61,0,12,1,0,1,0,N,1,4,4
79.58,1.72,M,33,0,0,0,18,11,0,N,1,2,1
54.5,1.74,V,53,60,0,1,17,3,0,N,3,4,2
82.9,1.73,V,25,0,0,0,0,1,0,N,0,1,0
79.61,1.64,M,18,0,0,7,11,9,0,S,0,0,1
79.01,1.73,V,50,0,0,3,0,0,0,N,1,2,3
58.67,1.7,M,30,0,8,7,0,0,1,N,3,3,3
71.01,1.64,M,54,0,0,1,14,8,0,N,2,2,1
81.16,1.76,V,19,0,0,9,0,9,4,N,0,1,2
70.55,1.69,M,28,0,6,7,0,2,0,N,0,0,0
50.81,1.61,M,48,0,0,4,0,5,5,N,3,2,1
68.81,1.63,M,42,0,0,3,0,0,0,N,2,3,4
48.41,1.64,V,43,30,0,0,0,6,0,N,1,1,2
61.7,1.71,M,62,0,9,6,0,0,0,N,1,1,0
58.32,1.8,V,53,0,20,3,0,3,0,N,1,2,2
54.5,1.74,V,42,40,3,6,0,1,0,N,2,3,4
82.23,1.81,V,32,0,0,2,9,7,1,N,0,3,3
77.97,1.69,V,18,0,1,6,0,0,NA,N,1,2,1
52.02,1.7,M,46,110,0,0,24,12,0,N,2,4,4
62.3,1.84,V,42,0,9,4,0,1,0,N,3,4,4
65.61,1.62,M,18,0,0,7,0,1,0,N,3,4,4
50.2,1.67,M,54,20,7,2,15,4,0,N,1,1,1
70.49,1.77,V,71,0,6,4,15,11,2,N,0,1,2
56.39,1.77,V,61,50,0,0,31,22,0,N,1,1,2
56.51,1.72,M,52,0,9,4,0,0,0,N,2,4,3
52.84,1.59,M,29,10,1,1,0,3,0,N,0,0,0
60.41,1.58,M,44,0,5,3,0,0,0,N,2,3,4
79.93,1.74,V,53,0,0,4,25,9,0,N,1,3,4
73.12,1.7,M,18,0,2,1,27,9,0,N,1,3,2
50.8,1.68,V,41,140,15,0,0,4,1,N,2,2,3
58.36,1.64,M,46,0,7,0,22,11,0,N,3,4,4
74.85,1.72,V,68,0,0,0,0,0,0,N,1,1,2
50.2,1.67,M,53,70,0,0,7,0,0,N,3,4,4
46.66,1.61,M,44,0,25,3,0,4,0,N,1,3,3
68.61,1.77,V,27,0,0,3,2,0,3,N,3,4,3
74.98,1.79,V,43,0,0,0,6,4,0,N,2,4,3
75.27,1.76,V,52,0,0,1,7,6,0,N,2,3,2
92.34,1.8,V,31,0,0,2,11,6,0,S,1,1,0
54.99,1.65,M,50,0,0,6,0,1,4,N,2,4,4
